,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score,parameter_searched
0,0.0,0.0,0.0,0.0,0.0,0.0,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.7563230991363525,0.624,n_estimator
1,1.0,1.0,1.0,1.0,1.0,1.0,,40,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.04641342163086,0.648,n_estimator
2,2.0,2.0,2.0,2.0,2.0,2.0,,70,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.7129707336425781,0.568,n_estimator
3,3.0,3.0,3.0,3.0,3.0,3.0,,100,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.888634204864502,0.5760000000000001,n_estimator
4,4.0,4.0,4.0,4.0,4.0,4.0,,130,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.521270513534546,0.596,n_estimator
5,5.0,5.0,5.0,5.0,5.0,5.0,,160,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.3490803241729736,0.612,n_estimator
6,6.0,6.0,6.0,6.0,6.0,6.0,,190,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.7927937507629395,0.608,n_estimator
7,7.0,7.0,7.0,7.0,7.0,7.0,,220,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.844858169555664,0.616,n_estimator
8,8.0,8.0,8.0,8.0,8.0,8.0,,250,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},8.084542751312256,0.608,n_estimator
9,9.0,9.0,9.0,9.0,9.0,9.0,,280,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},5.189159631729126,0.612,n_estimator
