,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score,parameter_searched
0,0.0,0.0,0.0,0.0,0.0,0.0,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.3939590454101562,0.6776,n_estimator
1,1.0,1.0,1.0,1.0,1.0,1.0,,40,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.4707541465759277,0.6628,n_estimator
2,2.0,2.0,2.0,2.0,2.0,2.0,,70,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.2892420291900635,0.6628,n_estimator
3,3.0,3.0,3.0,3.0,3.0,3.0,,100,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.3032035827636719,0.6612,n_estimator
4,4.0,4.0,4.0,4.0,4.0,4.0,,130,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.3440940380096435,0.64,n_estimator
5,5.0,5.0,5.0,5.0,5.0,5.0,,160,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.7280800342559814,0.618,n_estimator
6,6.0,6.0,6.0,6.0,6.0,6.0,,190,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.8278133869171143,0.6388,n_estimator
7,7.0,7.0,7.0,7.0,7.0,7.0,,220,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.016815185546875,0.6344,n_estimator
8,8.0,8.0,8.0,8.0,8.0,8.0,,250,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.994598627090454,0.6408,n_estimator
9,9.0,9.0,9.0,9.0,9.0,9.0,,280,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.0639081001281738,0.6548,n_estimator
10,10.0,10.0,10.0,10.0,10.0,10.0,,310,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.887965202331543,0.6372,n_estimator
11,11.0,11.0,11.0,11.0,11.0,11.0,,340,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.8578894138336182,0.6508,n_estimator
12,12.0,12.0,12.0,12.0,12.0,12.0,,370,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9557280540466307,0.632,n_estimator
13,13.0,13.0,13.0,13.0,13.0,13.0,,400,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.6235840320587158,0.6128,n_estimator
14,14.0,14.0,14.0,14.0,14.0,14.0,,430,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.53407883644104,0.642,n_estimator
15,15.0,15.0,15.0,15.0,15.0,15.0,,460,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.5231072902679443,0.6276,n_estimator
16,16.0,16.0,16.0,16.0,16.0,16.0,,490,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.190371036529541,0.6368,n_estimator
17,17.0,17.0,17.0,17.0,0.0,,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0518920421600341,0.6952,depth
18,18.0,18.0,18.0,18.0,1.0,,,10,4,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0508379936218261,0.6576,depth
19,19.0,19.0,19.0,19.0,2.0,,,10,6,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0448787212371826,0.6528,depth
20,20.0,20.0,20.0,0.0,,,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0382120609283447,0.6656,l_rate
21,21.0,21.0,21.0,1.0,,,,10,2,1.252500124699298,1,0.2,0.2,1.0,{'CPU': 1},0.1934826374053955,0.6528,l_rate
22,22.0,22.0,22.0,2.0,,,,10,2,1.5330473033683667,1,0.2,0.2,1.0,{'CPU': 1},0.0757973194122314,0.6596,l_rate
23,23.0,23.0,23.0,3.0,,,,10,2,1.8764341719560853,1,0.2,0.2,1.0,{'CPU': 1},0.0887622833251953,0.6016,l_rate
24,24.0,24.0,24.0,4.0,,,,10,2,2.296736176338636,1,0.2,0.2,1.0,{'CPU': 1},0.0408902168273925,0.5156,l_rate
25,25.0,25.0,25.0,5.0,,,,10,2,2.8111815178699864,1,0.2,0.2,1.0,{'CPU': 1},0.2383615970611572,0.5,l_rate
26,26.0,26.0,26.0,6.0,,,,10,2,3.440857338265134,1,0.2,0.2,1.0,{'CPU': 1},0.1226718425750732,0.602,l_rate
27,27.0,27.0,27.0,7.0,,,,10,2,4.211574082652526,1,0.2,0.2,1.0,{'CPU': 1},0.0947465896606445,0.6512,l_rate
28,28.0,28.0,28.0,8.0,,,,10,2,5.154923471082809,1,0.2,0.2,1.0,{'CPU': 1},0.0598394870758056,0.5588,l_rate
29,29.0,29.0,29.0,9.0,,,,10,2,6.309573444801933,1,0.2,0.2,1.0,{'CPU': 1},0.0498385429382324,0.5,l_rate
30,30.0,30.0,0.0,,,,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.1381380558013916,0.6908,reg_lambda
31,31.0,31.0,1.0,,,,,10,2,1.023292992280754,2,0.2,0.2,1.0,{'CPU': 1},0.3425922393798828,0.6848,reg_lambda
32,32.0,32.0,2.0,,,,,10,2,1.023292992280754,3,0.2,0.2,1.0,{'CPU': 1},0.3301169872283935,0.698,reg_lambda
33,33.0,33.0,3.0,,,,,10,2,1.023292992280754,4,0.2,0.2,1.0,{'CPU': 1},0.243349552154541,0.6948,reg_lambda
34,34.0,34.0,4.0,,,,,10,2,1.023292992280754,5,0.2,0.2,1.0,{'CPU': 1},0.1107041835784912,0.7024,reg_lambda
35,35.0,35.0,5.0,,,,,10,2,1.023292992280754,6,0.2,0.2,1.0,{'CPU': 1},0.1356375217437744,0.7156,reg_lambda
36,36.0,36.0,6.0,,,,,10,2,1.023292992280754,7,0.2,0.2,1.0,{'CPU': 1},0.1585755348205566,0.6916,reg_lambda
37,37.0,37.0,7.0,,,,,10,2,1.023292992280754,8,0.2,0.2,1.0,{'CPU': 1},0.0368728637695312,0.7096,reg_lambda
38,38.0,38.0,8.0,,,,,10,2,1.023292992280754,9,0.2,0.2,1.0,{'CPU': 1},0.0418400764465332,0.7096,reg_lambda
39,39.0,39.0,9.0,,,,,10,2,1.023292992280754,10,0.2,0.2,1.0,{'CPU': 1},0.0408875942230224,0.7044,reg_lambda
40,40.0,0.0,,,,,,10,2,1.023292992280754,6,0.2,0.2,1.0,{'CPU': 1},0.0339798927307128,0.6852,subsample
41,41.0,1.0,,,,,,10,2,1.023292992280754,6,0.4,0.2,1.0,{'CPU': 1},0.0388708114624023,0.7124,subsample
