,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.7850627899169922,0.6792
1,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.064100503921509,0.6856
2,70,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.84485125541687,0.6756
3,100,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},7.869572401046753,0.6732
4,130,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},8.464925050735474,0.6748
5,160,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},9.10853886604309,0.6672
6,190,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},11.746211528778076,0.6664
7,220,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},16.119420766830444,0.6644
8,250,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},11.868175745010376,0.6536
9,280,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},8.031270980834961,0.6456
10,310,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},7.081226587295532,0.6612
11,340,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.528795003890991,0.6572
12,370,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.877767562866211,0.6528
13,400,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.579150438308716,0.654
14,430,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.228057384490967,0.6604
15,460,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.2840890884399414,0.642
16,490,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.4970264434814453,0.66
