,C,gamma,total_time,score
0,1e-05,62874100900.35712,0.0445406436920166,0.5
1,0.021544346900318846,62874100900.35712,0.04587602615356445,0.5
2,46.41588833612782,62874100900.35712,0.05512428283691406,0.5
3,100000.0,62874100900.35712,0.05385589599609375,0.5
4,1e-05,59525776.0003381,0.045876502990722656,0.5
5,0.021544346900318846,59525776.0003381,0.045876264572143555,0.5
6,46.41588833612782,59525776.0003381,0.0608372688293457,0.5
7,100000.0,59525776.0003381,0.050859928131103516,0.5
8,1e-05,15350122.29012625,0.030180692672729492,0.676
9,0.021544346900318846,15350122.29012625,0.03004002571105957,0.752
10,46.41588833612782,15350122.29012625,0.020069599151611328,0.708
11,100000.0,15350122.29012625,0.029759883880615234,0.708
