,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score,parameter_searched
0,0.0,0.0,0.0,0.0,0.0,0.0,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.7716176509857178,0.6916,n_estimator
1,1.0,1.0,1.0,1.0,1.0,1.0,,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.2220299243927,0.6859999999999999,n_estimator
2,2.0,2.0,2.0,2.0,2.0,2.0,,70,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.7031524181365967,0.6836,n_estimator
3,3.0,3.0,3.0,3.0,3.0,3.0,,100,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.339875221252441,0.6876,n_estimator
4,4.0,4.0,4.0,4.0,4.0,4.0,,130,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.960350513458252,0.6728,n_estimator
5,5.0,5.0,5.0,5.0,5.0,5.0,,160,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.165245056152344,0.6776,n_estimator
6,6.0,6.0,6.0,6.0,6.0,6.0,,190,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},7.7805540561676025,0.6696,n_estimator
7,7.0,7.0,7.0,7.0,7.0,7.0,,220,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},7.389963150024414,0.6716,n_estimator
8,8.0,8.0,8.0,8.0,8.0,8.0,,250,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},13.041508197784426,0.6584,n_estimator
9,9.0,9.0,9.0,9.0,9.0,9.0,,280,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},10.418977737426758,0.6644,n_estimator
10,10.0,10.0,10.0,10.0,10.0,10.0,,310,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},8.825373411178587,0.6628,n_estimator
11,11.0,11.0,11.0,11.0,11.0,11.0,,340,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.741204500198362,0.6588,n_estimator
12,12.0,12.0,12.0,12.0,12.0,12.0,,370,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.19804835319519,0.6704,n_estimator
13,13.0,13.0,13.0,13.0,13.0,13.0,,400,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.373021602630615,0.6592,n_estimator
14,14.0,14.0,14.0,14.0,14.0,14.0,,430,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.469002962112427,0.6679999999999999,n_estimator
15,15.0,15.0,15.0,15.0,15.0,15.0,,460,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.559709310531616,0.6668,n_estimator
16,16.0,16.0,16.0,16.0,16.0,16.0,,490,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.4371881484985352,0.66,n_estimator
17,17.0,17.0,17.0,17.0,0.0,,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.0653371810913086,0.7,depth
18,18.0,18.0,18.0,0.0,,,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.035904645919799805,0.6796,l_rate
19,19.0,19.0,0.0,,,,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.04089069366455078,0.684,reg_lambda
20,20.0,0.0,,,,,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.04487872123718262,0.69,subsample
21,0.0,,,,,,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.03889679908752442,0.684,colsample_bytree
0,,,,,,,,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.06293964385986328,0.6912,scale_pos_weight
