,C,gamma,method,average_score_test,score_train,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight
0,1e-05,15350122.29012625,search_grid_svc,0.7859999999999999,1.0,,,,,,,
1,,,search_grid_XGB,0.998,1.0,40.0,4.0,0.4,4.0,0.8,0.6,1.5
