,C,gamma,total_time,score
0,1e-05,62874100900.35712,0.040891408920288086,0.5
1,0.021544346900318846,62874100900.35712,0.03989267349243164,0.5
2,46.41588833612782,62874100900.35712,0.05246114730834961,0.5
3,100000.0,62874100900.35712,0.049385786056518555,0.5
4,1e-05,59525776.0003381,0.05086374282836914,0.5
5,0.021544346900318846,59525776.0003381,0.04794597625732422,0.5
6,46.41588833612782,59525776.0003381,0.043878793716430664,0.5
7,100000.0,59525776.0003381,0.04313158988952637,0.5
8,1e-05,15350122.29012625,0.03953289985656738,0.74
9,0.021544346900318846,15350122.29012625,0.024572134017944336,0.724
10,46.41588833612782,15350122.29012625,0.019794702529907227,0.74
11,100000.0,15350122.29012625,0.02025127410888672,0.7
