,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score,parameter_searched
0,0.0,0.0,0.0,0.0,0.0,0.0,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.5365636348724365,0.6664,n_estimator
1,1.0,1.0,1.0,1.0,1.0,1.0,,40,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.4802234172821045,0.6512,n_estimator
2,2.0,2.0,2.0,2.0,2.0,2.0,,70,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.391460657119751,0.6532,n_estimator
3,3.0,3.0,3.0,3.0,3.0,3.0,,100,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.3301312923431396,0.636,n_estimator
4,4.0,4.0,4.0,4.0,4.0,4.0,,130,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.6378178596496582,0.6552,n_estimator
5,5.0,5.0,5.0,5.0,5.0,5.0,,160,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.8462734222412109,0.5992,n_estimator
6,6.0,6.0,6.0,6.0,6.0,6.0,,190,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.082641839981079,0.6272,n_estimator
7,7.0,7.0,7.0,7.0,7.0,7.0,,220,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9854094982147216,0.6168,n_estimator
8,8.0,8.0,8.0,8.0,8.0,8.0,,250,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.263157606124878,0.6264,n_estimator
9,9.0,9.0,9.0,9.0,9.0,9.0,,280,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.182375192642212,0.634,n_estimator
10,10.0,10.0,10.0,10.0,10.0,10.0,,310,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.0771632194519043,0.636,n_estimator
11,11.0,11.0,11.0,11.0,11.0,11.0,,340,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9390254020690918,0.6112,n_estimator
12,12.0,12.0,12.0,12.0,12.0,12.0,,370,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.045302391052246,0.6308,n_estimator
13,13.0,13.0,13.0,13.0,13.0,13.0,,400,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9390785694122314,0.6204,n_estimator
14,14.0,14.0,14.0,14.0,14.0,14.0,,430,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.734609842300415,0.6212,n_estimator
15,15.0,15.0,15.0,15.0,15.0,15.0,,460,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.8847172260284424,0.6116,n_estimator
16,16.0,16.0,16.0,16.0,16.0,16.0,,490,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.3241338729858398,0.6188,n_estimator
17,17.0,17.0,17.0,17.0,0.0,,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0388665199279785,0.6964,depth
18,18.0,18.0,18.0,18.0,1.0,,,10,4,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0468747615814209,0.652,depth
19,19.0,19.0,19.0,19.0,2.0,,,10,6,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0463824272155761,0.6304,depth
20,20.0,20.0,20.0,0.0,,,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.0378985404968261,0.6784,l_rate
21,21.0,21.0,21.0,1.0,,,,10,2,1.252500124699298,1,0.2,0.2,1.0,{'CPU': 1},0.2044534683227539,0.654,l_rate
22,22.0,22.0,22.0,2.0,,,,10,2,1.5330473033683667,1,0.2,0.2,1.0,{'CPU': 1},0.1007304191589355,0.6368,l_rate
23,23.0,23.0,23.0,3.0,,,,10,2,1.8764341719560853,1,0.2,0.2,1.0,{'CPU': 1},0.1426179409027099,0.5176,l_rate
24,24.0,24.0,24.0,4.0,,,,10,2,2.296736176338636,1,0.2,0.2,1.0,{'CPU': 1},0.0388686656951904,0.55,l_rate
