,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.14760470390319824,0.6884
1,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.5163483619689941,0.6832
2,70,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.608816385269165,0.672
3,100,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.153704881668091,0.6716
4,130,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.8398005962371826,0.6752
5,160,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.9568357467651367,0.6588
6,190,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.083561420440674,0.6608
7,220,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.8823184967041016,0.666
8,250,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.727063894271851,0.674
9,280,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.446714162826538,0.6664
10,310,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.079580783843994,0.654
11,340,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.705523252487183,0.67
12,370,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.613731384277344,0.6676
13,400,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.950464725494385,0.6476
14,430,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.849609375,0.6604
15,460,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.125709056854248,0.6608
16,490,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.572608232498169,0.6536
