,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score,parameter_searched
0,0.0,0.0,0.0,0.0,0.0,0.0,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.641728401184082,0.6416,n_estimator
1,1.0,1.0,1.0,1.0,1.0,1.0,,20,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9294066429138184,0.6652,n_estimator
2,2.0,2.0,2.0,2.0,2.0,2.0,,30,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.1304450035095217,0.6612,n_estimator
3,3.0,3.0,3.0,3.0,3.0,3.0,,40,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.0923669338226318,0.646,n_estimator
4,4.0,4.0,4.0,4.0,4.0,4.0,,50,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.7945127487182617,0.6728,n_estimator
5,5.0,5.0,5.0,5.0,5.0,5.0,,60,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.7884678840637207,0.6356,n_estimator
6,6.0,6.0,6.0,6.0,6.0,6.0,,70,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.5639989376068115,0.638,n_estimator
7,7.0,7.0,7.0,7.0,7.0,7.0,,80,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.5610067844390869,0.6432,n_estimator
8,8.0,8.0,8.0,8.0,8.0,8.0,,90,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.159292221069336,0.6568,n_estimator
9,9.0,9.0,9.0,9.0,9.0,9.0,,100,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.9782836437225344,0.6392,n_estimator
10,10.0,10.0,10.0,10.0,10.0,10.0,,110,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.737436056137085,0.6292,n_estimator
11,11.0,11.0,11.0,11.0,11.0,11.0,,120,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.0562248229980469,0.6156,n_estimator
12,12.0,12.0,12.0,12.0,12.0,12.0,,130,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9490022659301758,0.6432,n_estimator
13,13.0,13.0,13.0,13.0,13.0,13.0,,140,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.0582163333892822,0.6244,n_estimator
14,14.0,14.0,14.0,14.0,14.0,14.0,,150,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.1260325908660889,0.6408,n_estimator
15,15.0,15.0,15.0,15.0,15.0,15.0,,160,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.2048225402832031,0.6672,n_estimator
16,16.0,16.0,16.0,16.0,16.0,16.0,,170,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.1464433670043943,0.6576,n_estimator
17,17.0,17.0,17.0,17.0,17.0,17.0,,180,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.8537163734436035,0.624,n_estimator
18,18.0,18.0,18.0,18.0,18.0,18.0,,190,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9165492057800292,0.6384,n_estimator
19,19.0,19.0,19.0,19.0,19.0,19.0,,200,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.7001276016235352,0.6012,n_estimator
20,20.0,20.0,20.0,20.0,20.0,20.0,,210,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.6323089599609375,0.6304,n_estimator
21,21.0,21.0,21.0,21.0,21.0,21.0,,220,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.8651430606842041,0.6188,n_estimator
22,22.0,22.0,22.0,22.0,22.0,22.0,,230,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9583547115325928,0.6236,n_estimator
