,C,gamma,total_time,score
0,1e-05,1365897.30297206,1.3207032680511475,0.5
1,0.021544346900318846,1365897.30297206,1.2992522716522217,0.4996
2,46.41588833612782,1365897.30297206,1.3229973316192627,0.4988
3,100000.0,1365897.30297206,1.2242615222930908,0.4988
4,1e-05,1293.1572099143762,1.353914499282837,0.5496
5,0.021544346900318846,1293.1572099143762,1.216282606124878,0.5132
6,46.41588833612782,1293.1572099143762,1.3589041233062744,0.5544
7,100000.0,1293.1572099143762,1.4356999397277832,0.5564
8,1e-05,333.47102123341307,1.21927809715271,0.5424
9,0.021544346900318846,333.47102123341307,1.2252616882324219,0.5836
10,46.41588833612782,333.47102123341307,1.238718032836914,0.5744
11,100000.0,333.47102123341307,1.2576673030853271,0.5888
