,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.23237848281860352,0.6912
1,40,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.6053807735443115,0.6816
2,70,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.3493897914886475,0.6696
3,100,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},2.4723849296569824,0.6668
4,130,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.778959274291992,0.6764
5,160,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.468712329864502,0.6732
6,190,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.274099588394165,0.6568
7,220,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},0.889132022857666,0.6624
8,250,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},8.627053260803223,0.6604
9,280,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},8.118053436279297,0.6664
10,310,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},6.948717832565308,0.6648
11,340,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.6824822425842285,0.6596
12,370,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.566440582275391,0.6608
13,400,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},4.804547309875488,0.6572
14,430,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},5.154582738876343,0.6504
15,460,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},3.9458043575286865,0.6572
16,490,4,0.4,4,0.8,0.6,1.5,{'CPU': 1},1.5618221759796143,0.656
