,C,gamma,total_time,score
0,1e-05,62874100900.35712,0.03537416458129883,0.5
1,0.021544346900318846,62874100900.35712,0.041961669921875,0.5
2,46.41588833612782,62874100900.35712,0.04587697982788086,0.5
3,100000.0,62874100900.35712,0.038895606994628906,0.5
4,1e-05,59525776.0003381,0.03200101852416992,0.5
5,0.021544346900318846,59525776.0003381,0.031914472579956055,0.5
6,46.41588833612782,59525776.0003381,0.029919862747192383,0.5
7,100000.0,59525776.0003381,0.0259246826171875,0.5
8,1e-05,15350122.29012625,0.03989291191101074,0.668
9,0.021544346900318846,15350122.29012625,0.03687238693237305,0.736
10,46.41588833612782,15350122.29012625,0.03841757774353027,0.744
11,100000.0,15350122.29012625,0.02011275291442871,0.736
