,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,total_time,score
0,10,4,0.4,4,0.8,0.6,1.5,1.691685676574707,0.956
1,40,4,0.4,4,0.8,0.6,1.5,1.2412641048431396,0.98
2,70,4,0.4,4,0.8,0.6,1.5,1.3160068988800049,0.992
3,100,4,0.4,4,0.8,0.6,1.5,2.244668960571289,1.0
4,130,4,0.4,4,0.8,0.6,1.5,2.8834280967712402,1.0
5,160,4,0.4,4,0.8,0.6,1.5,3.191714286804199,1.0
6,190,4,0.4,4,0.8,0.6,1.5,3.445246458053589,0.988
7,220,4,0.4,4,0.8,0.6,1.5,1.1643507480621338,0.944
8,250,4,0.4,4,0.8,0.6,1.5,8.91325068473816,1.0
9,280,4,0.4,4,0.8,0.6,1.5,6.977008819580078,0.992
10,310,4,0.4,4,0.8,0.6,1.5,7.261581182479858,0.992
11,340,4,0.4,4,0.8,0.6,1.5,6.140437364578247,0.992
12,370,4,0.4,4,0.8,0.6,1.5,3.8807528018951416,1.0
13,400,4,0.4,4,0.8,0.6,1.5,4.035750865936279,0.996
14,430,4,0.4,4,0.8,0.6,1.5,3.994131565093994,1.0
15,460,4,0.4,4,0.8,0.6,1.5,1.008779764175415,0.988
16,490,4,0.4,4,0.8,0.6,1.5,0.2645838260650635,0.996
