,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,n_estimator,depth,l_rate,reg_lambda,subsample,colsample_bytree,scale_pos_weight,resources_per_trial,total_time,score,parameter_searched
0,0.0,0.0,0.0,0.0,0.0,0.0,,10,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.7920281887054443,0.7905060141523748,n_estimator
1,1.0,1.0,1.0,1.0,1.0,1.0,,40,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},0.9367761611938475,0.7962956219883722,n_estimator
2,2.0,2.0,2.0,2.0,2.0,2.0,,70,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.2271034717559814,0.7947056039034337,n_estimator
3,3.0,3.0,3.0,3.0,3.0,3.0,,100,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.330949306488037,0.79360108752382,n_estimator
4,4.0,4.0,4.0,4.0,4.0,4.0,,130,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.5239524841308594,0.7974001383679861,n_estimator
5,5.0,5.0,5.0,5.0,5.0,5.0,,160,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.7485978603363037,0.7979706028717426,n_estimator
6,6.0,6.0,6.0,6.0,6.0,6.0,,190,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.1579184532165527,0.7965626479263008,n_estimator
7,7.0,7.0,7.0,7.0,7.0,7.0,,220,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.141193628311157,0.7948269793297649,n_estimator
8,8.0,8.0,8.0,8.0,8.0,8.0,,250,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.382566213607788,0.7966111980968333,n_estimator
9,9.0,9.0,9.0,9.0,9.0,9.0,,280,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.49993634223938,0.7944143028802388,n_estimator
10,10.0,10.0,10.0,10.0,10.0,10.0,,310,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.684926986694336,0.7951182803529597,n_estimator
11,11.0,11.0,11.0,11.0,11.0,11.0,,340,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.966781616210937,0.7975943390501159,n_estimator
12,12.0,12.0,12.0,12.0,12.0,12.0,,370,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},3.104060649871826,0.7978977776159438,n_estimator
13,13.0,13.0,13.0,13.0,13.0,13.0,,400,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},3.5548837184906006,0.7946691912755344,n_estimator
14,14.0,14.0,14.0,14.0,14.0,14.0,,430,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},3.7116715908050537,0.7946085035623688,n_estimator
15,15.0,15.0,15.0,15.0,15.0,15.0,,460,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},3.842419147491455,0.7974608260811517,n_estimator
16,16.0,16.0,16.0,16.0,16.0,16.0,,490,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},3.904335021972656,0.7943900277949726,n_estimator
17,17.0,17.0,17.0,17.0,0.0,,,160,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.7204968929290771,0.7982983165228368,depth
18,18.0,18.0,18.0,18.0,1.0,,,160,4,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.272574186325073,0.7798735268057629,depth
19,19.0,19.0,19.0,19.0,2.0,,,160,6,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},2.7252273559570312,0.7612909490344585,depth
20,20.0,20.0,20.0,0.0,,,,160,2,1.023292992280754,1,0.2,0.2,1.0,{'CPU': 1},1.813332319259644,0.7971695250579568,l_rate
21,21.0,21.0,21.0,1.0,,,,160,2,1.252500124699298,1,0.2,0.2,1.0,{'CPU': 1},1.8109347820281985,0.7945842284771025,l_rate
22,22.0,22.0,22.0,2.0,,,,160,2,1.5330473033683667,1,0.2,0.2,1.0,{'CPU': 1},1.8539514541625977,0.7842673172389518,l_rate
23,23.0,23.0,23.0,3.0,,,,160,2,1.8764341719560853,1,0.2,0.2,1.0,{'CPU': 1},1.6978271007537842,0.7810387308985423,l_rate
24,24.0,24.0,24.0,4.0,,,,160,2,2.296736176338636,1,0.2,0.2,1.0,{'CPU': 1},1.4134197235107422,0.790639527121339,l_rate
25,25.0,25.0,25.0,5.0,,,,160,2,2.8111815178699864,1,0.2,0.2,1.0,{'CPU': 1},1.5833399295806885,0.790639527121339,l_rate
26,26.0,26.0,26.0,6.0,,,,160,2,3.440857338265134,1,0.2,0.2,1.0,{'CPU': 1},1.528372287750244,0.209360472878661,l_rate
27,27.0,27.0,27.0,7.0,,,,160,2,4.211574082652526,1,0.2,0.2,1.0,{'CPU': 1},1.458112716674805,0.209360472878661,l_rate
