,C,gamma,total_time,score
0,1e-05,2193699.92956976,3.2254409790039062,0.5012
1,0.021544346900318846,2193699.92956976,3.3968515396118164,0.5004
2,46.41588833612782,2193699.92956976,3.1597793102264404,0.4996
3,100000.0,2193699.92956976,3.0846221446990967,0.502
4,1e-05,2076.8756729654533,3.2773807048797607,0.564
5,0.021544346900318846,2076.8756729654533,3.1057097911834717,0.5304
6,46.41588833612782,2076.8756729654533,3.3896842002868652,0.5516
7,100000.0,2076.8756729654533,3.516638994216919,0.5564
8,1e-05,535.5712718676172,1.9112699031829834,0.5912
9,0.021544346900318846,535.5712718676172,1.908097743988037,0.5884
10,46.41588833612782,535.5712718676172,1.8306031227111816,0.5984
11,100000.0,535.5712718676172,1.9410107135772705,0.5716
