,C,gamma,total_time,score
0,1e-05,2931985.0408743788,5.427340745925903,0.5012
1,0.021544346900318846,2931985.0408743788,5.446172475814819,0.4996
2,46.41588833612782,2931985.0408743788,5.673766851425171,0.5
3,100000.0,2931985.0408743788,5.6259074211120605,0.5
4,1e-05,2775.8438256798854,5.834298133850098,0.5116
5,0.021544346900318846,2775.8438256798854,5.7825469970703125,0.5344
6,46.41588833612782,2775.8438256798854,5.786582708358765,0.5396
7,100000.0,2775.8438256798854,5.3847432136535645,0.5332
8,1e-05,715.8166603697214,3.522976875305176,0.57
9,0.021544346900318846,715.8166603697214,3.489069700241089,0.5932
10,46.41588833612782,715.8166603697214,3.5758354663848877,0.5944
11,100000.0,715.8166603697214,3.5718467235565186,0.5624
